Côtes-d'Armor;Saint-Brieuc;Croix Saint Lambert, Ville Oger
Côtes-d'Armor;Saint-Brieuc;Le Plateau, Balzac, Ginglin
Côtes-d'Armor;Saint-Brieuc;Point du Jour, Waron, Saint Jouan, Tour d'Auvergne
Dordogne;Boulazac;Le Vignaud
Doubs;Besançon;Cité Brûlard
Doubs;Besançon;Clairs Soleils
Doubs;Besançon;Palente, Orchamps
Doubs;Besançon;Planoise
Doubs;Audincourt;Les Champs Montants
Doubs;Audincourt;Courbet, Pergaud
Doubs;Bavans;Champerriet
Doubs;Bethoncourt;Champvallon
Doubs;Etupes;La Montagne
Doubs;Grand-Charmont;Les Fougères
Doubs;Montbéliard;La Chiffogne
Doubs;Montbéliard;Petite Hollande
Doubs;Valentigney;Les Buis
Drôme;Donzère;L'Enclos
Drôme;Montélimar;Quartiers Ouest : Pracomtal, Grange Neuve, Bagatelle, Le Plan, Jean Moulin
Drôme;Pierrelatte;Le Roc
Drôme;Romans-sur-Isère;La Monnaie
Drôme;Valence;Le Polygone
Drôme;Valence;Valence le Haut : Fontbarlette, Le Plan
Eure;Vernon;Valmeux, Blanchères, Boutardes
Eure;Évreux;Clos au Duc
Eure;Évreux;La Madeleine
Eure;Évreux;Nétreville
Eure;Louviers;ZAC de la Justice
Eure-et-Loir;Châteaudun;Beauvoir
Eure-et-Loir;Chartres;Beaulieu, Hauts de Chartres, Saint Chéron
Eure-et-Loir;Lucé;Bruxelles
Eure-et-Loir;Lucé;Paradis, Vieux Puits, Maunoury
Eure-et-Loir;Mainvilliers;Tallemont
Eure-et-Loir;Dreux;Bergeronettes, Prod'homme, Aubépines
Eure-et-Loir;Dreux, Sainte-Gemme-Moronval;Plateau Est* : Chamards, Croix Tiénac, Lièvre d'Or, Le Moulec, Haricot, Feilleuses
Eure-et-Loir;Dreux;Les Bâtes
Eure-et-Loir;Vernouillet;Cité de la Tabellionne
Eure-et-Loir;Vernouillet;Les Vauvettes
Finistère;Brest;Kerédern
Finistère;Brest;Pontanezen
Finistère;Brest;Kerourien
Finistère;Quimper;Kermoysan
Gard;Bagnols-sur-Cèze;Les Escanaux, Coronelle, Citadelle
Gard;Beaucaire;Centre
Gard;Saint-Gilles;Sabatot
Gard;Beaucaire;La Moulinelle
Gard;Nîmes;Chemin Bas d'Avignon
Gard;Nîmes;Mas de Mingue
Gard;Nîmes;ZUP Pissevin, Valdegour
Gard;Alès;Les Cévennes
Gard;Alès;Prés Saint Jean
Gard;La Grand-Combe;Trescol
Haute-Garonne;Cugnaux;Le Vivier, Le Maçon
Haute-Garonne;Toulouse;Empalot
Haute-Garonne;Toulouse;Faourette, Bordelongue, Bagatelle
Haute-Garonne;Toulouse;La Reynerie, Bellefontaine
Haute-Garonne;Toulouse;Les Izards
Gironde;Bègles;Paty, Monmousseau
Gironde;Bègles;Thorez, Goëlands
Gironde;Bègles, Bordeaux;Yves Farges*, Belcier*
Gironde;Bordeaux;Bacalan, Claveau
Gironde;Bordeaux, Cenon, Floirac;Cité Benauge (Bastide)*, Bas Cenon*, Cité Libération*
Gironde;Bordeaux;Les Aubiers
Gironde;Bordeaux;Saint Michel
Gironde;Bordeaux, Cenon, Floirac, Lormont;Hauts de Garonne*, Bastide* : Quais Queyries, Brazza
Gironde;Mérignac;Beaudésert
Gironde;Pessac;Alouette, Haut Livrac
Gironde;Pessac;Saige, Châtaigneraie, Cité Ladonne
Gironde;Talence, Villenave-d'Ornon;Thouars*
Gironde;Villenave-d'Ornon;Sarcignan
Hérault;Lodève;Les Gobelins, Cité Montifort, Saint Martin
Hérault;Lunel;Cité la Roquette, L'Abrivado, La Brèche
Hérault;Béziers;Le Faubourg, Centre
Hérault;Béziers;Les Arènes, La Devèze
Hérault;Béziers;Pintat, Les Oiseaux
Hérault;Montpellier;Gély, Figuerolles 
Hérault;Montpellier;La Paillade
Hérault;Montpellier;Les Cévennes
Hérault;Montpellier;Pas du Loup, Val de Croze, Paul Valéry
Hérault;Montpellier;Le Petit Bard, Pergola
Hérault;Frontignan;La Peyrade
Hérault;Frontignan;Quartier Nord
Hérault;Sète;Presqu'île de Thau
Ille-et-Vilaine;Fougères;Cotterêts
Ille-et-Vilaine;Rennes;Cleunay
Ille-et-Vilaine;Rennes;Les Champs Manceaux, Les Cloteaux
Ille-et-Vilaine;Rennes;Le Blosne
Ille-et-Vilaine;Rennes;Maurepas
Ille-et-Vilaine;Rennes;Villejean
Ille-et-Vilaine;Saint-Malo;La Découverte
Indre;Châteauroux;Beaulieu
Indre;Châteauroux;Saint Jean
Indre;Châteauroux;Vaugirard
Indre-et-Loire;Amboise;La Verrerie
Indre-et-Loire;Joué-lès-Tours;La Rabière
Indre-et-Loire;La Riche;Niqueux Bruère 
Indre-et-Loire;Saint-Pierre-des-Corps;La Rabâterie
Indre-et-Loire;Tours;Le Sanitas
Isère;Villefontaine;Servenoble, Saint Bonnet, Les Roches
Isère;Echirolles;La Villeneuve : Les Essarts, Surieux
Isère;Fontaine;Floralies
Isère;Grenoble;Village Olympique, La Villeneuve : Arlequins, Baladins
Isère;Grenoble;Mistral
Isère;Grenoble;Teisseire, L'Abbaye, Jouhaux, Châtelet
Isère;Saint-Martin-d'Hères;Renaudie
Isère;Saint-Martin-le-Vinoux;Pique Pierre, Buisserate
Isère;Chavanoz;Moulin Villette 
Isère;Pont-Evêque;Le Plan des Aures
Isère;Vienne;Grand Estressin, Portes de Lyon
Isère;Vienne;Malissol
Jura;Saint-Claude;Les Avignonnets
Jura;Dole;Les Mesnils Pasteurs
Jura;Lons-le-Saunier;La Marjorie, Les Mouillères
Landes;Mont-de-Marsan;Le Peyrouat
Landes;Saint-Pierre-du-Mont;La Moustey
Loir-et-Cher;Blois;Bégon, Croix Chevalier
Loir-et-Cher;Romorantin-Lanthenay;Saint Marc
Loir-et-Cher;Vendôme;Les Rottes
Loire;Saint-Étienne;Montchovet
Loire;Saint-Étienne;Montreynaud
Loire;Saint-Étienne;Tarentaise, Beaubrun, Séverine
Loire;Roanne;Halage, Mayollet
Loire;Roanne;Parc des Sports, Oudan
Loire;Rive-de-Gier;Le Grand Pont
Loire;Le Chambon-Feugerolles;La Romière, Le Bouchet
Loire;La Ricamarie;Le Montcel
Haute-Loire;Le Puy-en-Velay;Quartier Guitard
Loire-Atlantique;Nantes, Saint-Herblain;Bellevue*
Loire-Atlantique;Nantes;Les Dervallières
Loire-Atlantique;Nantes;Malakoff
